city_id,deaths_avoided,lower,upper,pm25_observed,pm25_no_depopulation,pm25_change
310000,194.483470517606,188.835164724132,200.989267396559,28.5869947336518,28.8571071442119,-0.270112410560099
320100,72.6408015044459,70.6032319692345,74.988587233755,34.6032230914978,34.9458487088089,-0.3426256173111
320200,58.9653214541156,57.3354897820123,60.8448694586699,34.1207871311683,34.4554668912622,-0.334679760093898
320300,83.483255127841,81.1408146841371,86.1694813303125,48.8227112525836,49.2768212006589,-0.454109948075299
320400,44.2451964985693,43.0279028555295,45.6491262883868,36.3409789249314,36.7012907421683,-0.360311817236898
320500,83.4939928169927,81.12538664453,86.2257555337246,32.0076941123163,32.3168284358653,-0.309134323548996
320600,108.770392320789,105.758996861719,112.212780859402,31.2878847274971,31.6547947476196,-0.3669100201225
320700,42.856613476267,41.6755804408964,44.2155740198989,40.3134359212193,40.7458990520298,-0.432463130810497
320800,50.064668903465,48.7113598686984,51.6210936231217,39.6125571783113,40.0591170970519,-0.446559918740604
320900,61.4681345836047,59.8294657038817,63.350779547313,34.0333431662888,34.3274985755628,-0.294155409273998
321000,67.8309373091401,66.0190272268096,69.9109297797389,37.1759330570611,37.6804805935538,-0.504547536492702
321100,33.2654157264424,32.3648869607148,34.3040883492984,36.7723177387094,37.1648286140977,-0.392510875388304
321200,44.0395741738717,42.8459741908041,45.4052881257107,35.9934457054643,36.281417779077,-0.2879720736127
321300,45.5900368282017,44.3245125516836,47.0433006417142,42.7574525020604,43.2011234519159,-0.443670949855495
330100,58.1008204912424,56.433485460381,60.0293730387822,25.219052164818,25.4313470199167,-0.212294855098701
330200,43.5893172543017,42.3542081401324,45.0185443067952,22.8846856260415,23.0687431745423,-0.1840575485008
330300,37.3220630214809,36.2548133371321,38.5549053316584,20.8554140772342,21.0088948763888,-0.1534807991546
330400,34.9461944153025,33.9758260581837,36.0669292763268,29.7636226904035,30.0274339946384,-0.263811304234899
330500,24.2453391562529,23.5745289041365,25.0200688544867,29.2293671158011,29.4934344643884,-0.2640673485873
330600,31.7864632146799,30.9098626742194,32.7980680081519,25.3129488403836,25.5177641588777,-0.204815318494099
330700,31.0654546973832,30.1816071579926,32.0870189694079,24.1122644435836,24.3031191555225,-0.190854711938897
330800,15.1876857119579,14.7711557390614,15.6676806043713,23.12594101512,23.3157421493936,-0.189801134273601
330900,7.41546342138203,7.20892493645642,7.65412225529076,23.1542326784509,23.346176178885,-0.1919435004341
331000,31.9070761290041,31.0029393813167,32.9488027244815,21.6347873935781,21.7989609330706,-0.164173539492499
331100,12.7681571005706,12.4092031583738,13.1818747186662,20.1601530354043,20.3131762777083,-0.153023242304002
340100,64.7174456734959,62.9110227617507,66.7960546477412,36.0719691699866,36.4283238390039,-0.3563546690173
340200,29.0297826064035,28.2565157410961,29.9182869346605,33.4601192748921,33.7693634701982,-0.3092441953061
340300,30.1057967546536,29.2723196139655,31.0603545900952,43.9532311247386,44.3832757032103,-0.430044578471701
