panel,group,estimate,lower,upper,outcome,city_id,y
d,Depopulating cities,-14.020508,,,'Industrial soot',230700,40
d,Depopulating cities,-14.008763,,,'Industrial soot',150900,39
d,Depopulating cities,-13.684398,,,'Industrial soot',220300,38
d,Depopulating cities,-12.673394,,,'Industrial soot',210600,37
d,Depopulating cities,-12.098909,,,'Industrial soot',150700,36
d,Depopulating cities,-11.232724,,,'Industrial soot',210900,35
d,Depopulating cities,-10.713144,,,'Industrial soot',210500,34
d,Depopulating cities,-9.851072,,,'Industrial soot',150800,33
d,Depopulating cities,-9.312401,,,'Industrial soot',211400,32
d,Depopulating cities,-8.934979,,,'Industrial soot',231100,31
d,Depopulating cities,-8.498728,,,'Industrial soot',220600,30
d,Depopulating cities,-6.781489,,,'Industrial soot',220800,29
d,Depopulating cities,-6.403085,,,'Industrial soot',420300,28
d,Depopulating cities,-5.204692,,,'Industrial soot',230400,27
d,Depopulating cities,-4.402739,,,'Industrial soot',220400,26
d,Depopulating cities,-3.548625,,,'Industrial soot',231200,25
d,Depopulating cities,-2.840462,,,'Industrial soot',411100,24
d,Highly connected non-depopulating cities,-153.34732,,,'Air-emission composite',410400,20
d,Highly connected non-depopulating cities,-126.091733,,,'Air-emission composite',150200,19
d,Highly connected non-depopulating cities,-121.441998,,,'Air-emission composite',220100,18
d,Highly connected non-depopulating cities,-111.742386,,,'Air-emission composite',150100,17
d,Highly connected non-depopulating cities,-91.730035,,,'Air-emission composite',210200,16
d,Highly connected non-depopulating cities,-80.725551,,,'Air-emission composite',230100,15
d,Highly connected non-depopulating cities,-55.361114,,,'Air-emission composite',130800,14
d,Highly connected non-depopulating cities,-49.642943,,,'Air-emission composite',130300,13
d,Highly connected non-depopulating cities,-39.518744,,,'Air-emission composite',230800,12
d,Highly connected non-depopulating cities,-38.901369,,,'Air-emission composite',411000,11
d,Highly connected non-depopulating cities,-25.029714,,,'Air-emission composite',210100,10
d,Highly connected non-depopulating cities,-16.397809,,,'Air-emission composite',411700,9
d,Highly connected non-depopulating cities,-11.991791,,,'Air-emission composite',150400,8
d,Highly connected non-depopulating cities,-8.528755,,,'Air-emission composite',211300,7
d,Highly connected non-depopulating cities,-8.473784,,,'Air-emission composite',411600,6
d,Highly connected non-depopulating cities,-8.414361,,,'Air-emission composite',230600,5
d,Highly connected non-depopulating cities,-8.14529,,,'Air-emission composite',610900,4
d,Highly connected non-depopulating cities,11.212367,,,'Air-emission composite',150500,3
d,Highly connected non-depopulating cities,25.020784,,,'Air-emission composite',211100,2
d,Depopulating cities,-156.733162,,,'Air-emission composite',220200,54
d,Depopulating cities,-110.410851,,,'Air-emission composite',230200,53
d,Depopulating cities,-95.529019,,,'Air-emission composite',210800,52
d,Depopulating cities,-81.00979,,,'Air-emission composite',211400,51
d,Depopulating cities,-73.884101,,,'Air-emission composite',150900,50
d,Depopulating cities,-72.879851,,,'Air-emission composite',231000,49
d,Depopulating cities,-60.168926,,,'Air-emission composite',230500,48
d,Depopulating cities,-56.923598,,,'Air-emission composite',210700,47
d,Depopulating cities,-56.356101,,,'Air-emission composite',211200,46
d,Depopulating cities,-50.988893,,,'Air-emission composite',210400,45
d,Depopulating cities,-47.174466,,,'Air-emission composite',220700,44
d,Depopulating cities,-46.099478,,,'Air-emission composite',220300,43
d,Depopulating cities,-41.125144,,,'Air-emission composite',220500,42
d,Depopulating cities,-37.642035,,,'Air-emission composite',230300,41
d,Depopulating cities,-31.406566,,,'Air-emission composite',150700,40
d,Depopulating cities,-25.558567,,,'Air-emission composite',150800,39
d,Depopulating cities,-24.894472,,,'Air-emission composite',210600,38
d,Depopulating cities,-24.190755,,,'Air-emission composite',220800,37
d,Depopulating cities,-22.704848,,,'Air-emission composite',210900,36
d,Depopulating cities,-21.809773,,,'Air-emission composite',211000,35
d,Depopulating cities,-20.590649,,,'Air-emission composite',220600,34
d,Depopulating cities,-19.663886,,,'Air-emission composite',210500,33
d,Depopulating cities,-19.116127,,,'Air-emission composite',411100,32
d,Depopulating cities,-17.974386,,,'Air-emission composite',230700,31
d,Depopulating cities,-17.549684,,,'Air-emission composite',230900,30
d,Depopulating cities,-15.150542,,,'Air-emission composite',230400,29
d,Depopulating cities,-14.642523,,,'Air-emission composite',210300,28
d,Depopulating cities,-12.941982,,,'Air-emission composite',231100,27
d,Depopulating cities,-5.327591,,,'Air-emission composite',420300,26
d,Depopulating cities,-1.857163,,,'Air-emission composite',231200,25
d,Depopulating cities,17.402278,,,'Air-emission composite',220400,24
e,Local,-0.252553025917732,-0.628620268514554,0.12351421667909,High-emission firm entry,,
e,Connected-city,-1.37211568417477,-2.51807182101927,-0.226159547330272,High-emission firm entry,,
e,Local,-0.17834562729797,-1.05218017786718,0.695488923271244,Emission-weighted entry,,
e,Connected-city,-3.5206512875717,-6.93164417131388,-0.109658403829525,Emission-weighted entry,,
