city_id,panel,record_type,estimate,group,lower,upper,label,n
440900,a,city,-0.1137931938968,-0.24 to -0.068,,,,
441200,a,city,-0.141471685187501,-0.24 to -0.068,,,,
441300,a,city,-0.1411554540284,-0.24 to -0.068,,,,
441400,a,city,-0.108390349302301,-0.24 to -0.068,,,,
441500,a,city,-0.162476222349802,-0.24 to -0.068,,,,
441600,a,city,-0.1869643493947,-0.24 to -0.068,,,,
441700,a,city,-0.106616165068001,-0.24 to -0.068,,,,
441800,a,city,-0.167819805375,-0.24 to -0.068,,,,
441900,a,city,-0.1323655857652,-0.24 to -0.068,,,,
442000,a,city,-0.111551067468397,-0.24 to -0.068,,,,
445100,a,city,-0.221107183007398,-0.24 to -0.068,,,,
445200,a,city,-0.200989886402603,-0.24 to -0.068,,,,
445300,a,city,-0.121450119459102,-0.24 to -0.068,,,,
450100,a,city,-0.174198629989,-0.24 to -0.068,,,,
450200,a,city,-0.2487317204716,-0.46 to -0.24,,,,
450300,a,city,-0.2392395054211,-0.46 to -0.24,,,,
450400,a,city,-0.1486743127554,-0.24 to -0.068,,,,
450500,a,city,-0.132556318822999,-0.24 to -0.068,,,,
450600,a,city,-0.146248851819998,-0.24 to -0.068,,,,
450700,a,city,-0.142850420726802,-0.24 to -0.068,,,,
450800,a,city,-0.1617488174839,-0.24 to -0.068,,,,
450900,a,city,-0.134325455878301,-0.24 to -0.068,,,,
451000,a,city,-0.455584347467902,-0.46 to -0.24,,,,
451100,a,city,-0.1758266516097,-0.24 to -0.068,,,,
451200,a,city,-0.345737538675799,-0.46 to -0.24,,,,
451300,a,city,-0.181754428441199,-0.24 to -0.068,,,,
451400,a,city,-0.1766442739595,-0.24 to -0.068,,,,
460100,a,city,-0.0725830083552985,-0.24 to -0.068,,,,
460200,a,city,-0.0675141844881004,-0.24 to -0.068,,,,
500000,a,city,-2.0744575010887,-4.2 to -1.7,,,,
510100,a,city,-2.96169900365251,-4.2 to -1.7,,,,
510300,a,city,-3.1764543536257,-4.2 to -1.7,,,,
510400,a,city,-1.0089877405474,-1.7 to -0.64,,,,
510500,a,city,-2.3423415924896,-4.2 to -1.7,,,,
510600,a,city,-2.71231675566609,-4.2 to -1.7,,,,
510700,a,city,-2.3668153390161,-4.2 to -1.7,,,,
510800,a,city,-1.996183573751,-4.2 to -1.7,,,,
510900,a,city,-2.7075710330064,-4.2 to -1.7,,,,
511000,a,city,-3.01228009190439,-4.2 to -1.7,,,,
511100,a,city,-2.2368256441556,-4.2 to -1.7,,,,
511300,a,city,-2.5849359847795,-4.2 to -1.7,,,,
511400,a,city,-2.7620818313578,-4.2 to -1.7,,,,
511500,a,city,-2.6715537369765,-4.2 to -1.7,,,,
511600,a,city,-2.6717963575535,-4.2 to -1.7,,,,
511700,a,city,-2.1426536189963,-4.2 to -1.7,,,,
511800,a,city,-1.79556221441,-4.2 to -1.7,,,,
511900,a,city,-1.9884605756017,-4.2 to -1.7,,,,
512000,a,city,-2.8011309653608,-4.2 to -1.7,,,,
520100,a,city,-1.1858484195674,-1.7 to -0.64,,,,
520200,a,city,-1.0534968145868,-1.7 to -0.64,,,,
520300,a,city,-1.5564490490819,-1.7 to -0.64,,,,
520400,a,city,-1.0304246273841,-1.7 to -0.64,,,,
530100,a,city,-0.818361299061401,-1.7 to -0.64,,,,
530300,a,city,-0.905349219268999,-1.7 to -0.64,,,,
530400,a,city,-0.837514258657901,-1.7 to -0.64,,,,
530500,a,city,-0.701174970364601,-1.7 to -0.64,,,,
530600,a,city,-1.5342623727966,-1.7 to -0.64,,,,
530700,a,city,-0.706213558068999,-1.7 to -0.64,,,,
530900,a,city,-0.770030697794201,-1.7 to -0.64,,,,
610100,a,city,-1.8721481592786,-4.2 to -1.7,,,,
610200,a,city,-1.4602694970999,-1.7 to -0.64,,,,
610300,a,city,-1.404207866553,-1.7 to -0.64,,,,
610400,a,city,-1.8012675190808,-4.2 to -1.7,,,,
610500,a,city,-1.5244608629869,-1.7 to -0.64,,,,
610600,a,city,-1.0344947581285,-1.7 to -0.64,,,,
610700,a,city,-1.7095600727684,-1.7 to -0.64,,,,
610800,a,city,-0.707154479905803,-1.7 to -0.64,,,,
610900,a,city,-1.3513854523589,-1.7 to -0.64,,,,
611000,a,city,-0.989734234866599,-1.7 to -0.64,,,,
620100,a,city,-0.875496934769899,-1.7 to -0.64,,,,
620200,a,city,-0.429300326175902,-0.46 to -0.24,,,,
620300,a,city,-0.535718407658901,-0.64 to -0.46,,,,
620400,a,city,-0.897796215612399,-1.7 to -0.64,,,,
620500,a,city,-1.0997841727167,-1.7 to -0.64,,,,
620600,a,city,-0.608229481743102,-0.64 to -0.46,,,,
620700,a,city,-0.379149326734801,-0.46 to -0.24,,,,
620800,a,city,-1.1907967308549,-1.7 to -0.64,,,,
620900,a,city,-0.403035194567302,-0.46 to -0.24,,,,
621000,a,city,-1.117681910452,-1.7 to -0.64,,,,
621100,a,city,-0.9777654178407,-1.7 to -0.64,,,,
630100,a,city,-0.508199094674602,-0.64 to -0.46,,,,
640100,a,city,-0.782141098062503,-1.7 to -0.64,,,,
640200,a,city,-0.699527854844803,-1.7 to -0.64,,,,
640300,a,city,-0.883745459074895,-1.7 to -0.64,,,,
640400,a,city,-0.988669525608,-1.7 to -0.64,,,,
650100,a,city,0,0,,,,
650200,a,city,0,0,,,,
110000,b,city,334.120489446433,131-1879,,,,
120000,b,city,223.622417108817,131-1879,,,,
130100,b,city,99.3782863500775,64-131,,,,
130200,b,city,197.416397217493,131-1879,,,,
130300,b,city,110.942702719955,64-131,,,,
130400,b,city,69.7635270752436,64-131,,,,
130500,b,city,56.6022540803915,37- 64,,,,
130600,b,city,119.925085540109,64-131,,,,
130700,b,city,56.8490250675016,37- 64,,,,
130800,b,city,80.3009825400501,64-131,,,,
130900,b,city,78.2042526193793,64-131,,,,
131000,b,city,62.8095867204543,37- 64,,,,
131100,b,city,42.7360504101877,37- 64,,,,
140100,b,city,45.3935050234393,37- 64,,,,
140200,b,city,31.3590958162147,19- 37,,,,
140300,b,city,12.0467948768241,1.3- 19,,,,
140400,b,city,29.6692332154971,19- 37,,,,
140500,b,city,22.5877558530077,19- 37,,,,
140600,b,city,14.2713130322639,1.3- 19,,,,
140700,b,city,31.0653156639769,19- 37,,,,
140800,b,city,104.617881215902,64-131,,,,
140900,b,city,28.3874066375652,19- 37,,,,
141000,b,city,56.966328795546,37- 64,,,,
141100,b,city,34.4225590411304,19- 37,,,,
150100,b,city,35.4654201119467,19- 37,,,,
150200,b,city,33.156595081349,19- 37,,,,
150300,b,city,7.2320382093742,1.3- 19,,,,
150400,b,city,148.430340118697,131-1879,,,,
150500,b,city,154.323927379329,131-1879,,,,
150600,b,city,21.959987601038,19- 37,,,,
150700,b,city,131.430016342874,131-1879,,,,
150800,b,city,19.138581183435,19- 37,,,,
150900,b,city,16.9162102565931,1.3- 19,,,,
210100,b,city,825.423073721676,131-1879,,,,
210200,b,city,541.213929725732,131-1879,,,,
210300,b,city,302.288334114007,131-1879,,,,
210400,b,city,188.326929372383,131-1879,,,,
210500,b,city,124.083842568971,64-131,,,,
210600,b,city,203.48426328132,131-1879,,,,
210700,b,city,234.323987316515,131-1879,,,,
210800,b,city,196.406785397809,131-1879,,,,
210900,b,city,131.204490489282,64-131,,,,
211000,b,city,155.858967997787,131-1879,,,,
211100,b,city,106.5757333404,64-131,,,,
211200,b,city,224.667552981825,131-1879,,,,
211300,b,city,164.001004528471,131-1879,,,,
211400,b,city,139.267305743396,131-1879,,,,
220100,b,city,773.953521860327,131-1879,,,,
220200,b,city,323.65174291993,131-1879,,,,
220300,b,city,159.342215686682,131-1879,,,,
220400,b,city,94.9502049405642,64-131,,,,
220500,b,city,146.068265315363,131-1879,,,,
220600,b,city,82.0250034791864,64-131,,,,
220700,b,city,172.505640509137,131-1879,,,,
220800,b,city,110.448427367854,64-131,,,,
230100,b,city,821.159220946424,131-1879,,,,
230200,b,city,311.994924919818,131-1879,,,,
230300,b,city,128.636723494018,64-131,,,,
230400,b,city,69.3397274302171,64-131,,,,
230500,b,city,97.2849897583965,64-131,,,,
230600,b,city,213.006970598183,131-1879,,,,
230700,b,city,72.5915173048038,64-131,,,,
230800,b,city,155.95720727618,131-1879,,,,
230900,b,city,48.3396500324777,37- 64,,,,
231000,b,city,190.744496739382,131-1879,,,,
231100,b,city,83.8615674369657,64-131,,,,
231200,b,city,313.773680685543,131-1879,,,,
310000,b,city,194.483470517606,131-1879,,,,
320100,b,city,72.6408015044459,64-131,,,,
320200,b,city,58.9653214541156,37- 64,,,,
320300,b,city,83.483255127841,64-131,,,,
320400,b,city,44.2451964985693,37- 64,,,,
320500,b,city,83.4939928169927,64-131,,,,
320600,b,city,108.770392320789,64-131,,,,
320700,b,city,42.856613476267,37- 64,,,,
320800,b,city,50.064668903465,37- 64,,,,
320900,b,city,61.4681345836047,37- 64,,,,
321000,b,city,67.8309373091401,64-131,,,,
321100,b,city,33.2654157264424,19- 37,,,,
321200,b,city,44.0395741738717,37- 64,,,,
321300,b,city,45.5900368282017,37- 64,,,,
330100,b,city,58.1008204912424,37- 64,,,,
330200,b,city,43.5893172543017,37- 64,,,,
330300,b,city,37.3220630214809,19- 37,,,,
330400,b,city,34.9461944153025,19- 37,,,,
330500,b,city,24.2453391562529,19- 37,,,,
330600,b,city,31.7864632146799,19- 37,,,,
330700,b,city,31.0654546973832,19- 37,,,,
330800,b,city,15.1876857119579,1.3- 19,,,,
330900,b,city,7.41546342138203,1.3- 19,,,,
331000,b,city,31.9070761290041,19- 37,,,,
331100,b,city,12.7681571005706,1.3- 19,,,,
340100,b,city,64.7174456734959,64-131,,,,
340200,b,city,29.0297826064035,19- 37,,,,
340300,b,city,30.1057967546536,19- 37,,,,
340400,b,city,31.5674176944509,19- 37,,,,
340500,b,city,19.5998455239728,19- 37,,,,
340600,b,city,17.4148111958453,1.3- 19,,,,
340700,b,city,11.5776718261846,1.3- 19,,,,
340800,b,city,37.5500451252264,37- 64,,,,
341000,b,city,8.75074438093859,1.3- 19,,,,
341100,b,city,37.1951885615486,19- 37,,,,
341200,b,city,77.8690198605275,64-131,,,,
341300,b,city,48.8622550122483,37- 64,,,,
341500,b,city,42.5645805945159,37- 64,,,,
341600,b,city,43.9307401924462,37- 64,,,,
341700,b,city,9.76386000890617,1.3- 19,,,,
341800,b,city,18.9878478315723,19- 37,,,,
350100,b,city,30.2694570444107,19- 37,,,,
350200,b,city,12.3197733560859,1.3- 19,,,,
350300,b,city,12.461942138391,1.3- 19,,,,
350400,b,city,12.8927396623011,1.3- 19,,,,
350500,b,city,27.5847167449855,19- 37,,,,
350600,b,city,24.9245622567795,19- 37,,,,
350700,b,city,13.531705181679,1.3- 19,,,,
350800,b,city,15.0751456782165,1.3- 19,,,,
350900,b,city,12.3444336903967,1.3- 19,,,,
360100,b,city,40.617800856585,37- 64,,,,
360200,b,city,7.80564612134831,1.3- 19,,,,
360300,b,city,15.6742938853534,1.3- 19,,,,
360400,b,city,37.2625413979556,19- 37,,,,
360500,b,city,9.77091173870886,1.3- 19,,,,
360600,b,city,6.10431329426814,1.3- 19,,,,
360700,b,city,42.9900113333706,37- 64,,,,
360800,b,city,31.4848843556181,19- 37,,,,
360900,b,city,40.2991155021589,37- 64,,,,
361000,b,city,19.142284607789,19- 37,,,,
361100,b,city,32.546918154496,19- 37,,,,
370100,b,city,79.3372663923468,64-131,,,,
370200,b,city,107.695163611078,64-131,,,,
370300,b,city,50.5452757158682,37- 64,,,,
370400,b,city,33.5090183321065,19- 37,,,,
370500,b,city,25.0540597112145,19- 37,,,,
370600,b,city,119.717574941691,64-131,,,,
370700,b,city,99.0167722065384,64-131,,,,
370800,b,city,72.7209055230662,64-131,,,,
370900,b,city,50.6264322036914,37- 64,,,,
371000,b,city,50.4333057971052,37- 64,,,,
371100,b,city,29.2317938790416,19- 37,,,,
371300,b,city,97.2408596513087,64-131,,,,
371400,b,city,53.4829106337758,37- 64,,,,
371500,b,city,49.7463614148798,37- 64,,,,
371600,b,city,43.520216530138,37- 64,,,,
371700,b,city,77.9398713297063,64-131,,,,
410100,b,city,98.0585521528419,64-131,,,,
410200,b,city,46.9828426878636,37- 64,,,,
410300,b,city,110.44934850129,64-131,,,,
410400,b,city,66.6804172327977,64-131,,,,
410500,b,city,38.3660319357783,37- 64,,,,
410600,b,city,10.4602996745862,1.3- 19,,,,
410700,b,city,54.3756412907525,37- 64,,,,
410800,b,city,38.5292366078128,37- 64,,,,
410900,b,city,28.8052417979932,19- 37,,,,
411000,b,city,52.5635247222376,37- 64,,,,
411100,b,city,30.9812796381834,19- 37,,,,
411200,b,city,41.5674473061463,37- 64,,,,
411300,b,city,160.525796261337,131-1879,,,,
411400,b,city,70.5347622596141,64-131,,,,
411500,b,city,70.5305027350906,64-131,,,,
411600,b,city,94.6129068610717,64-131,,,,
411700,b,city,91.5075997316722,64-131,,,,
420100,b,city,145.755449730142,131-1879,,,,
420200,b,city,23.1389118106244,19- 37,,,,
420300,b,city,75.9427899585983,64-131,,,,
420500,b,city,101.399632604353,64-131,,,,
420600,b,city,109.439424715831,64-131,,,,
420700,b,city,12.0098903080138,1.3- 19,,,,
420800,b,city,48.190741218563,37- 64,,,,
420900,b,city,52.1077415319658,37- 64,,,,
421000,b,city,101.678413606958,64-131,,,,
421100,b,city,62.7168347732124,37- 64,,,,
421200,b,city,27.4745108920435,19- 37,,,,
421300,b,city,35.517244101473,19- 37,,,,
430100,b,city,107.567563616015,64-131,,,,
430200,b,city,37.7032564646185,37- 64,,,,
430300,b,city,42.8613267330392,37- 64,,,,
430400,b,city,71.9964897143128,64-131,,,,
430500,b,city,83.4944225354186,64-131,,,,
430600,b,city,80.348365334745,64-131,,,,
430700,b,city,126.51572032446,64-131,,,,
430800,b,city,36.3395357094228,19- 37,,,,
430900,b,city,69.4479388008696,64-131,,,,
431000,b,city,29.132671103031,19- 37,,,,
431100,b,city,41.0863706815212,37- 64,,,,
431200,b,city,73.3112047381763,64-131,,,,
431300,b,city,57.5978635222339,37- 64,,,,
440100,b,city,43.4892669373472,37- 64,,,,
440200,b,city,14.7351644885505,1.3- 19,,,,
440300,b,city,18.2850760382318,1.3- 19,,,,
440400,b,city,4.08335963620075,1.3- 19,,,,
440500,b,city,23.7188400163286,19- 37,,,,
440600,b,city,19.4765547229064,19- 37,,,,
440700,b,city,13.9644371601009,1.3- 19,,,,
440800,b,city,20.4085894201952,19- 37,,,,
440900,b,city,18.4488735250262,1.3- 19,,,,
441200,b,city,13.6575099997643,1.3- 19,,,,
441300,b,city,14.1293528954242,1.3- 19,,,,
441400,b,city,12.9017096683816,1.3- 19,,,,
441500,b,city,10.562807155747,1.3- 19,,,,
441600,b,city,13.9067429166118,1.3- 19,,,,
441700,b,city,7.81771098566488,1.3- 19,,,,
441800,b,city,15.9620811010231,1.3- 19,,,,
441900,b,city,13.3116370232734,1.3- 19,,,,
442000,b,city,6.8673644797285,1.3- 19,,,,
445100,b,city,14.8915744359975,1.3- 19,,,,
445200,b,city,26.1877375909674,19- 37,,,,
445300,b,city,7.50377699909503,1.3- 19,,,,
450100,b,city,31.160678297483,19- 37,,,,
450200,b,city,24.8389376365623,19- 37,,,,
450300,b,city,32.7889896790104,19- 37,,,,
450400,b,city,10.3263298256487,1.3- 19,,,,
450500,b,city,5.92429498417208,1.3- 19,,,,
450600,b,city,3.28825617454572,1.3- 19,,,,
450700,b,city,10.6065709016102,1.3- 19,,,,
450800,b,city,16.2619339854257,1.3- 19,,,,
450900,b,city,17.6680033630925,1.3- 19,,,,
451000,b,city,38.999223629431,37- 64,,,,
451100,b,city,8.87854713271534,1.3- 19,,,,
451200,b,city,30.2417389509458,19- 37,,,,
