city_id,panel,record_type,estimate,group,marker,year,outcome
370900,a,city,-0.400239743424301,-5 to < 0,FALSE,,
371000,a,city,3.628709794846,0 to < 5,FALSE,,
371100,a,city,5.97469558334788,5 to < 10,FALSE,,
371300,a,city,9.75079287290925,5 to < 10,FALSE,,
371400,a,city,0.771501202804839,0 to < 5,FALSE,,
371500,a,city,2.80257063077313,0 to < 5,FALSE,,
371600,a,city,4.80446176230647,0 to < 5,FALSE,,
371700,a,city,6.13253893453824,5 to < 10,FALSE,,
410100,a,city,46.0582358661189,>= 10,FALSE,,
410200,a,city,3.15478533761376,0 to < 5,FALSE,,
410300,a,city,7.73683304933586,5 to < 10,FALSE,,
410400,a,city,1.6807548513151,0 to < 5,FALSE,,
410500,a,city,5.88468851315668,5 to < 10,FALSE,,
410600,a,city,-0.206154952052245,-5 to < 0,FALSE,,
410700,a,city,9.52557473987819,5 to < 10,FALSE,,
410800,a,city,-0.537357549968207,-5 to < 0,FALSE,,
410900,a,city,4.81690814007125,0 to < 5,FALSE,,
411000,a,city,1.68334769591929,0 to < 5,FALSE,,
411100,a,city,-6.94801565559576,-10 to < -5,TRUE,,
411200,a,city,-8.91425225759148,-10 to < -5,FALSE,,
411300,a,city,-5.36405142025359,-10 to < -5,FALSE,,
411400,a,city,6.16403016443761,5 to < 10,FALSE,,
411500,a,city,2.050954755082,0 to < 5,FALSE,,
411600,a,city,0.806607881151597,0 to < 5,FALSE,,
411700,a,city,-3.08117535679249,-5 to < 0,FALSE,,
420100,a,city,27.2071991422313,>= 10,FALSE,,
420200,a,city,1.63671450176552,0 to < 5,FALSE,,
420300,a,city,-3.94622192435976,-5 to < 0,TRUE,,
420500,a,city,-7.32270919475053,-10 to < -5,TRUE,,
420600,a,city,-4.35168436961791,-5 to < 0,FALSE,,
420700,a,city,2.92609291024423,0 to < 5,FALSE,,
420800,a,city,-9.63083314223157,-10 to < -5,TRUE,,
420900,a,city,-11.3026535026592,< -10,TRUE,,
421000,a,city,-8.09119302873461,-10 to < -5,TRUE,,
421100,a,city,-4.53337994105551,-5 to < 0,FALSE,,
421200,a,city,7.94828032192214,5 to < 10,FALSE,,
421300,a,city,-5.28618245490056,-10 to < -5,FALSE,,
430100,a,city,42.6426133122699,>= 10,FALSE,,
430200,a,city,1.18322055430246,0 to < 5,FALSE,,
430300,a,city,-0.944345391329245,-5 to < 0,FALSE,,
430400,a,city,-7.03800768401745,-10 to < -5,FALSE,,
430500,a,city,-7.18656736995942,-10 to < -5,FALSE,,
430600,a,city,-7.74571756021274,-10 to < -5,FALSE,,
430700,a,city,-7.62116766057883,-10 to < -5,TRUE,,
430800,a,city,2.63018139578622,0 to < 5,FALSE,,
430900,a,city,-10.5936884348016,< -10,TRUE,,
431000,a,city,1.82398679096967,0 to < 5,FALSE,,
431100,a,city,1.83950599458057,0 to < 5,FALSE,,
431200,a,city,-3.24946490405391,-5 to < 0,FALSE,,
431300,a,city,1.11931563263449,0 to < 5,FALSE,,
440100,a,city,47.0373284475736,>= 10,FALSE,,
440200,a,city,1.02202709884419,0 to < 5,FALSE,,
440300,a,city,68.8912388914831,>= 10,FALSE,,
440400,a,city,56.1304422955079,>= 10,FALSE,,
440500,a,city,2.09122547375109,0 to < 5,FALSE,,
440600,a,city,31.9764209101239,>= 10,FALSE,,
440700,a,city,7.80521638941084,5 to < 10,FALSE,,
440800,a,city,-0.194372073553732,-5 to < 0,FALSE,,
440900,a,city,6.12903081636182,5 to < 10,FALSE,,
441200,a,city,5.03328637774811,5 to < 10,FALSE,,
441300,a,city,31.4119992119001,>= 10,FALSE,,
441400,a,city,-8.61685408925551,-10 to < -5,TRUE,,
441500,a,city,-6.71058014920273,-10 to < -5,FALSE,,
441600,a,city,-3.81361232054152,-5 to < 0,FALSE,,
441700,a,city,7.48265302583093,5 to < 10,FALSE,,
441800,a,city,7.32911855142153,5 to < 10,FALSE,,
441900,a,city,27.3279979445773,>= 10,FALSE,,
442000,a,city,41.5466435991702,>= 10,FALSE,,
445100,a,city,-3.78648763460557,-5 to < 0,FALSE,,
445200,a,city,-5.20929510105369,-10 to < -5,FALSE,,
445300,a,city,0.684197141377367,0 to < 5,FALSE,,
450100,a,city,31.2798123128963,>= 10,FALSE,,
450200,a,city,10.6214801697606,>= 10,FALSE,,
450300,a,city,3.85794918789384,0 to < 5,FALSE,,
450400,a,city,-2.12417597668448,-5 to < 0,FALSE,,
450500,a,city,20.3979727802678,>= 10,FALSE,,
450600,a,city,20.663908264479,>= 10,FALSE,,
450700,a,city,7.22523241553374,5 to < 10,FALSE,,
450800,a,city,4.79395980584674,0 to < 5,FALSE,,
450900,a,city,5.63836797532077,5 to < 10,FALSE,,
451000,a,city,3.02146847284985,0 to < 5,FALSE,,
451100,a,city,2.75250860766645,0 to < 5,FALSE,,
451200,a,city,1.44524702968108,0 to < 5,FALSE,,
451300,a,city,-1.19540260540617,-5 to < 0,FALSE,,
451400,a,city,4.73387705368089,0 to < 5,FALSE,,
460100,a,city,40.4261620490966,>= 10,FALSE,,
460200,a,city,50.4791306783697,>= 10,FALSE,,
500000,a,city,11.1210223055608,>= 10,FALSE,,
510100,a,city,49.0483765049252,>= 10,FALSE,,
510300,a,city,-7.0791396017543,-10 to < -5,TRUE,,
510400,a,city,-0.157974369935122,-5 to < 0,FALSE,,
510500,a,city,0.846808537874426,0 to < 5,FALSE,,
510600,a,city,-4.4139292507961,-5 to < 0,TRUE,,
510700,a,city,5.51320138772844,5 to < 10,FALSE,,
510800,a,city,-7.18422847187054,-10 to < -5,TRUE,,
510900,a,city,-13.4790763996644,< -10,TRUE,,
511000,a,city,-15.1820747657141,< -10,TRUE,,
511100,a,city,-2.33611341264909,-5 to < 0,TRUE,,
511300,a,city,-10.6878524464157,< -10,TRUE,,
511400,a,city,0.158411412128946,0 to < 5,FALSE,,
511500,a,city,2.61428262195722,0 to < 5,FALSE,,
511600,a,city,1.54133114707457,0 to < 5,FALSE,,
511700,a,city,-1.51195196427569,-5 to < 0,TRUE,,
511800,a,city,-4.82034263543468,-5 to < 0,FALSE,,
511900,a,city,-17.369122561639,< -10,TRUE,,
512000,a,city,-37.0096836147432,< -10,TRUE,,
520100,a,city,38.504667664983,>= 10,FALSE,,
520200,a,city,6.32230831064218,5 to < 10,FALSE,,
520300,a,city,7.82742910899511,5 to < 10,FALSE,,
520400,a,city,7.53034019669117,5 to < 10,FALSE,,
530100,a,city,31.5269450977106,>= 10,FALSE,,
530300,a,city,-1.52483623125658,-5 to < 0,FALSE,,
530400,a,city,-2.34493500810499,-5 to < 0,FALSE,,
530500,a,city,-3.00340196713254,-5 to < 0,FALSE,,
530600,a,city,-2.31916204039458,-5 to < 0,FALSE,,
530700,a,city,0.731782362831979,0 to < 5,FALSE,,
530900,a,city,-7.0593213327697,-10 to < -5,FALSE,,
610100,a,city,43.8771029866183,>= 10,FALSE,,
610200,a,city,-16.3121961274488,< -10,TRUE,,
610300,a,city,-10.6244805591571,< -10,TRUE,,
610400,a,city,-2.21077272159091,-5 to < 0,TRUE,,
610500,a,city,-11.3001191620932,< -10,TRUE,,
610600,a,city,4.3699865889898,0 to < 5,FALSE,,
610700,a,city,-5.99304021197847,-10 to < -5,TRUE,,
610800,a,city,8.15513111394638,5 to < 10,FALSE,,
610900,a,city,-5.18915885206543,-10 to < -5,TRUE,,
611000,a,city,-12.8327971228257,< -10,TRUE,,
620100,a,city,20.5544661565311,>= 10,FALSE,,
620200,a,city,34.8539807550474,>= 10,FALSE,,
620300,a,city,-5.60801637754552,-10 to < -5,FALSE,,
620400,a,city,-11.5079309343895,< -10,FALSE,,
620500,a,city,-8.51757322265505,-10 to < -5,FALSE,,
620600,a,city,-19.2888495635679,< -10,FALSE,,
620700,a,city,-5.71055801719862,-10 to < -5,FALSE,,
620800,a,city,-10.6103722716224,< -10,FALSE,,
620900,a,city,-3.67180164734244,-5 to < 0,FALSE,,
621000,a,city,-1.42344103245717,-5 to < 0,FALSE,,
621100,a,city,-6.46725886970545,-10 to < -5,FALSE,,
630100,a,city,11.7379481579276,>= 10,FALSE,,
640100,a,city,43.4494613383855,>= 10,FALSE,,
640200,a,city,3.57100520757234,0 to < 5,FALSE,,
640300,a,city,8.55092511179219,5 to < 10,FALSE,,
640400,a,city,-7.00350769771918,-10 to < -5,FALSE,,
650100,a,city,30.3538266651234,>= 10,FALSE,,
650200,a,city,25.4061297978558,>= 10,FALSE,,
,b,estimate,8,,,2011,
,b,estimate,20,,,2012,
,b,estimate,24,,,2013,
,b,estimate,24,,,2014,
,b,estimate,26,,,2015,
,b,estimate,26,,,2016,
,b,estimate,32,,,2017,
,b,estimate,31,,,2018,
,b,estimate,44,,,2019,
,b,estimate,47,,,2020,
,c,estimate,31.6760977316896,Other,,2011,PM[1]
,c,estimate,24.4459301042216,Depopulating,,2011,PM[1]
,c,estimate,30.5300395789791,Other,,2012,PM[1]
,c,estimate,25.6118625103242,Depopulating,,2012,PM[1]
,c,estimate,33.4088159504597,Other,,2013,PM[1]
,c,estimate,28.7926646910816,Depopulating,,2013,PM[1]
,c,estimate,31.8016368874858,Other,,2014,PM[1]
,c,estimate,27.6893233743236,Depopulating,,2014,PM[1]
,c,estimate,26.9998917483511,Other,,2015,PM[1]
,c,estimate,25.2144808081818,Depopulating,,2015,PM[1]
,c,estimate,25.0527616241135,Other,,2016,PM[1]
,c,estimate,21.3840975709544,Depopulating,,2016,PM[1]
,c,estimate,24.1449718972,Other,,2017,PM[1]
,c,estimate,21.1740592890923,Depopulating,,2017,PM[1]
,c,estimate,21.5079185946197,Other,,2018,PM[1]
,c,estimate,18.5024186291278,Depopulating,,2018,PM[1]
,c,estimate,20.4157018895808,Other,,2019,PM[1]
,c,estimate,19.4635155479014,Depopulating,,2019,PM[1]
,c,estimate,18.4555716665485,Other,,2020,PM[1]
,c,estimate,17.6595653678339,Depopulating,,2020,PM[1]
,c,estimate,56.2779120478648,Other,,2011,PM[2.5]
,c,estimate,42.1745329749376,Depopulating,,2011,PM[2.5]
,c,estimate,54.561454558492,Other,,2012,PM[2.5]
,c,estimate,44.0263461409229,Depopulating,,2012,PM[2.5]
,c,estimate,60.0797377865681,Other,,2013,PM[2.5]
,c,estimate,49.436196153704,Depopulating,,2013,PM[2.5]
,c,estimate,56.4858783216089,Other,,2014,PM[2.5]
,c,estimate,47.5903664570991,Depopulating,,2014,PM[2.5]
,c,estimate,47.7104142392412,Other,,2015,PM[2.5]
,c,estimate,44.2335681579996,Depopulating,,2015,PM[2.5]
,c,estimate,44.2759884350512,Other,,2016,PM[2.5]
,c,estimate,36.1866345469688,Depopulating,,2016,PM[2.5]
,c,estimate,42.602438796511,Other,,2017,PM[2.5]
,c,estimate,36.7062690892895,Depopulating,,2017,PM[2.5]
,c,estimate,38.0156074154068,Other,,2018,PM[2.5]
,c,estimate,31.9074424597949,Depopulating,,2018,PM[2.5]
,c,estimate,35.6400962938233,Other,,2019,PM[2.5]
,c,estimate,33.839193970971,Depopulating,,2019,PM[2.5]
,c,estimate,31.95897218719,Other,,2020,PM[2.5]
,c,estimate,30.5439336605185,Depopulating,,2020,PM[2.5]
,c,estimate,95.9936716781518,Other,,2011,PM[10]
,c,estimate,69.6680308033655,Depopulating,,2011,PM[10]
,c,estimate,93.0650645127253,Other,,2012,PM[10]
,c,estimate,73.6772910744163,Depopulating,,2012,PM[10]
,c,estimate,102.938072388421,Other,,2013,PM[10]
,c,estimate,81.7686647338209,Depopulating,,2013,PM[10]
,c,estimate,96.119317637086,Other,,2014,PM[10]
,c,estimate,81.2425584915963,Depopulating,,2014,PM[10]
,c,estimate,81.5831317240137,Other,,2015,PM[10]
,c,estimate,75.1170253448882,Depopulating,,2015,PM[10]
,c,estimate,76.6818950955912,Other,,2016,PM[10]
,c,estimate,61.455575991541,Depopulating,,2016,PM[10]
,c,estimate,75.5494559460939,Other,,2017,PM[10]
,c,estimate,63.298671064492,Depopulating,,2017,PM[10]
,c,estimate,71.2451221436377,Other,,2018,PM[10]
,c,estimate,57.5306196866617,Depopulating,,2018,PM[10]
,c,estimate,62.9963481496784,Other,,2019,PM[10]
,c,estimate,57.2406690847944,Depopulating,,2019,PM[10]
,c,estimate,55.8895082726496,Other,,2020,PM[10]
,c,estimate,50.4538555924916,Depopulating,,2020,PM[10]
