city_id,year,province_id,PM1,PM2_5,PM10,lnPM1,lnPM2_5,lnPM10,Shrinkage_pop,Impervious,UR,lnPGDP,Open,lnTech,ER,lnFixed,DZ,NDVI,Temperature,Precipitation,WindSpeed,aq_phase1_post,aq_phase2_post,post_inspection,post_inspection_lag1,post_air_inspection,inspection_current_year,inspection_air_current_year
120000,2011,120000,44.9753581116196,82.4306100961084,139.451299769722,3.80611474226448,4.41195684968205,4.93771543471649,0,29.0799264974891,0.819249297470895,2.09310848352554,0.590820604350145,6.67456139181443,0,8.45294369164126,44,0.512777903815731,12.8887604608229,1.60319745777979,3.10594700526299,0,0,0,0,0,0,0
120000,2012,120000,44.5634347959239,81.0502882825793,136.379297602087,3.79691367514213,4.39506980502396,4.91543995677925,0,29.7052745519065,0.818062827225131,2.19149415182591,0.566044401248329,7.01211529430638,0,8.5382661629378,45,0.519012278877199,12.3260819480068,2.24535039550704,3.05386347825871,1,0,0,0,0,0,0
120000,2013,120000,50.3623563183158,93.1300708366197,151.489055498694,3.9192439975636,4.53399712715413,5.02051338140721,0,31.1366945010948,0.818426294820717,2.25944597062167,0.554154183881925,7.36327958696304,1,8.70731359343172,46,0.516051341546699,12.6794477947216,1.44187017211383,3.0102041536914,1,0,0,0,0,0,0
120000,2014,120000,48.4738003098067,88.5063526317149,143.151573623256,3.88102345218516,4.48307433058706,4.9639040243112,0,31.6751675460603,0.819120684567719,2.32001099333455,0.523106346817377,7.35946763825562,1,8.83909888077008,47,0.496341517195106,14.4198559103101,1.36042675540216,2.78028335290592,1,0,0,0,0,0,0
120000,2015,120000,41.8800230048285,75.9726626781388,128.061835813633,3.73480893530564,4.33037357397475,4.85251323956211,0,32.3367011144715,1,2.35646226015014,0.430575925956688,7.78945456608667,1,8.95417522092735,47,0.510254465043545,13.6596827575148,1.68073821305945,2.8998539112949,1,0,0,0,0,0,0
120000,2016,120000,38.4925711404113,69.5294373807848,112.420364451716,3.65046526528315,4.24175022233052,4.72224509944482,0,32.7173228862876,1,2.39984939453899,0.381351647165953,8.08517874807454,1,8.9175981134855,47,0.518033481668681,13.462563310645,1.97216949908882,2.91331379884835,1,0,0,0,0,0,0
120000,2017,120000,35.102209075024,62.7040410514032,106.954259857907,3.55826406510177,4.13842589614262,4.67240126510367,0,33.0839656721867,1,2.38015936148794,0.416064165627499,7.89133075766189,1,8.75392940834019,47,0.50933482311666,14.1753282333673,1.59830821479455,2.94880672233176,1,0,1,0,1,1,1
120000,2018,120000,29.9992985267055,52.6639740436255,94.429343270182,3.40117399894563,3.96393161729794,4.5478518645773,0,33.3027556075989,1,2.34434038168022,0.43091422574384,7.9402277651457,1,8.66189928019694,47,0.51937946327962,13.6056200224277,1.85279087862166,2.959279599024,1,0,1,1,1,0,0
120000,2019,120000,29.0231622449238,50.2581193978317,86.5890026325984,3.3680942092977,3.91717211394289,4.46117281711873,0,33.6687166828619,1,2.05599792879332,0.522365796500199,7.8984110928116,1,8.77222254848399,47,0.50482142996043,14.136569285913,1.43862215894145,2.89634337066172,1,0,1,1,1,0,0
120000,2020,120000,26.5091504334772,45.2378249527158,74.8688450860396,3.27748997276656,3.81193357212387,4.31573785053312,0,34.1948719218512,1,2.03336911829599,0.519034428957551,7.86672228513673,1,8.7968617330206,47,0.534366070525721,13.8004495832897,1.82353103899768,2.77675329051061,1,0,1,1,1,0,0
